"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",42,16,26,33.5,509,579,0.88,0.77,0.15,"-2.5%",55.1,-17,442,"71%","55%","55%","64%","55%","54%","29%","40%","41%","49.4%","48.5%",3.73,1.52,1.87
"DRX",47,21,26,33.7,518,599,0.86,0.71,-0.34,"-1.1%",40.9,3.8,-587,"47%","40%","36%","33%","32%","41%","50%","49%","48%","49.9%","50.5%",3.73,1.34,1.75
"DWG KIA",43,33,10,33.3,647,486,1.33,0.79,0.82,"6.4%",61.8,15,1203,"47%","60%","60%","64%","51%","65%","60%","70%","74%","49.5%","56.3%",3.81,1.48,1.78
"Fredit BRION",39,12,27,32.8,361,469,0.77,0.65,-1.1,"-7.2%",38.3,-7.5,-1415,"44%","13%","28%","29%","54%","46%","40%","28%","33%","49.1%","46.5%",3.97,1.55,1.94
"Gen.G",44,29,15,32.3,547,435,1.26,0.69,0.69,"5.8%",58.3,7.6,612,"66%","66%","55%","57%","68%","56%","50%","73%","72%","51.1%","51.5%",4.03,1.57,1.98
"Hanwha Life Esports",44,26,18,31.9,614,535,1.15,0.82,0.29,"2.5%",52.9,6.2,232,"36%","61%","57%","43%","55%","58%","60%","50%","53%","51.0%","50.4%",3.68,1.47,1.95
"KT Rolster",45,18,27,34.3,500,574,0.87,0.69,-0.51,"-4.4%",38.8,1.2,-829,"49%","31%","38%","45%","31%","37%","45%","38%","43%","50.0%","48.5%",3.97,1.48,1.83
"Liiv SANDBOX",40,15,25,32.6,480,553,0.87,0.79,-0.29,"-1.6%",48.8,-11.3,-50,"38%","55%","65%","63%","45%","44%","43%","33%","32%","50.2%","45.7%",3.68,1.54,1.88
"Nongshim RedForce",42,18,24,32.2,476,551,0.86,0.76,-0.6,"-3.6%",42.4,0.4,-941,"43%","40%","40%","48%","52%","50%","75%","45%","44%","49.3%","49.4%",3.68,1.3,1.78
"T1",44,27,17,32.7,612,494,1.24,0.77,0.81,"4.7%",62.4,-1,1230,"59%","75%","66%","56%","59%","52%","60%","55%","58%","50.5%","51.8%",3.67,1.41,1.72